fetched_at,state_code,district_code,blood_group,blood_component,blood_bank,hospital_code,address,contact,category,available,not_available,last_updated,bank_type
2026-08-24T14:41:09,28,679,13,11,Bsu Chc Munchingput,285058,"Munchingput, , Munchingput, Alluri Sitharama Raju, Andhra Pradesh",-,Govt.,,B+Ve : 0,2026-08-24 10:18:23,BSU
2026-08-24T14:41:09,28,679,13,11,Bsu Ah Chintapalli,281675,"Chintapalli, , CHINTAPALLI, Alluri Sitharama Raju, Andhra Pradesh",-,Govt.,,B+Ve : 0,2026-08-22 08:48:02,BSU
2026-08-24T14:41:09,28,679,13,11,Bsu Chc Chinturu,284578,"Chinturu, , Chintoor , Alluri Sitharama Raju, Andhra Pradesh",-,Govt.,B+Ve : 3,,2026-08-24 09:33:25,BSU
2026-08-24T14:41:09,28,679,13,11,AH Araku Valley,281681,"Sarabhaguda, Araku Valley, Araku Valley, Araku Valley, Alluri Sitharama Raju, Andhra Pradesh","Phone: 9491803981 ,Fax: -, Email: -",Govt.,B+Ve : 3,,2026-08-24 08:17:56,Blood Bank
2026-08-24T14:41:09,28,679,13,11,"Government General Hospital Blood Centre, Paderu",281691,"DH Paderu, , PADERU, Alluri Sitharama Raju, Andhra Pradesh","Phone: 9592046656 ,Fax: 1234567890, Email: areahospitalpaderu@gmail.com",Govt.,B+Ve : 8,,2026-08-24 06:18:19,Blood Bank
2026-08-24T14:41:09,28,680,13,11,Bsu Chc Chodavaram,284580,"Chodavaram, , Chodavaram, Anakapalli, Andhra Pradesh",-,Govt.,,B+Ve : 0,2026-08-24 08:55:22,BSU
2026-08-24T14:41:09,28,680,13,11,District Hospital Blood Centre Anakapalli,2811,"Poolbagh Road, Anakapalli, Anakapalli, Anakapalli, Andhra Pradesh","Phone: 9490263710 ,Fax: 1234567890, Email: bloodbank.ahakp@gmail.com",Govt.,B+Ve : 7,,2026-08-24 00:51:45,Blood Bank
2026-08-24T14:41:09,28,680,13,11,Narsipatnam Blood Centre,285331,"17 216 3rd floor petta Muthyalurao street Krishna bazar, narsipatnam anakapalli Andhra pradesh, Narsipatnam, Anakapalli, Andhra Pradesh","Phone: 9581882018 ,Fax: 1234567890, Email: narsipatnambloodcentre@gmail.com",Private,,B+Ve : 0,2026-08-24 07:49:23,Blood Bank
2026-08-24T14:41:09,28,680,13,11,Area Hospital Blood Centre Narsipatnam,281656,"Area Hospital Narsipatnam, Near Police Station,Chintapalli road, Narsipatnam, Anakapalli, Andhra Pradesh","Phone: 9618473874 ,Fax: -, Email: ahnrpmbloodcenter@gmail.com",Govt.,B+Ve : 9,,2026-08-24 09:35:44,Blood Bank
2026-08-24T14:41:09,28,680,13,11,Bsu Chc Nakkapalli,281665,"Nakkapalli, , NAKKAPALLI, Anakapalli, Andhra Pradesh",-,Govt.,B+Ve : 1,,2026-08-24 09:05:06,BSU
2026-08-24T14:41:09,28,680,13,11,Bsu Chc Yelamachili,285223,"Yelamnchili, , Yelamachili, Anakapalli, Andhra Pradesh",-,Govt.,B+Ve : 2,,2026-08-24 09:16:25,BSU
2026-08-24T14:41:09,28,680,13,11,BSU CHC K Kotapadu,281661,"Kotapadu, , KOTAPADU, Anakapalli, Andhra Pradesh",-,Govt.,B+Ve : 2,,2026-08-24 09:52:52,BSU
2026-08-24T14:41:09,28,680,13,11,Sree Surya Abhayanjaneya Blood Centre,283773,"D.No. 12-4-45 Pudimadaka road beside Satyadev Hospital, near, Anakapalli, Anakapalli, Andhra Pradesh","Phone: 9059017567 ,Fax: 0, Email: ssabloodcenter2021@gmail.com",Charitable/Vol,,B+Ve : 0,2026-08-24 12:33:52,Blood Bank
2026-08-24T14:41:09,28,680,13,11,Bsu Chc Kotauratla,284581,"kotauratla, , koutaratla, Anakapalli, Andhra Pradesh",-,Govt.,,B+Ve : 0,2026-08-24 08:50:50,BSU
2026-08-24T14:41:10,28,553,13,11,Indian Red Cross Society Blood Bank Anantapuramu,28149,"CD Hospital Compound Near Tadipatri Busstand, Old Town Ananthapuramu-515005, Ananthapur, Ananthapuramu, Andhra Pradesh","Phone: 9666629797 ,Fax: -, Email: ircsbloodbank.anantapur@gmail.com",Red Cross ,,B+Ve : 0,2026-08-24 08:05:30,Blood Bank
2026-08-24T14:41:10,28,553,13,11,Bsu Ah Tadipatri,281308,"Tadipatri, , TADIPATRI, Ananthapuramu, Andhra Pradesh",-,Govt.,,B+Ve : 0,2026-08-20 10:10:55,BSU
2026-08-24T14:41:10,28,553,13,11,BSU Chc Kalyandurg,281309,"Kalyandurg, Rayadurgam road, KALYANADURG, Ananthapuramu, Andhra Pradesh",-,Govt.,B+Ve : 1,,2026-08-24 09:47:57,BSU
2026-08-24T14:41:10,28,553,13,11,Area Hospital Blood Centre Guntakal,281306,"M/S APVVP Area Hospital Blood Center, Guntakal, Anantapuramu, GUNTAKAL, Ananthapuramu, Andhra Pradesh","Phone: 9160100310 ,Fax: -, Email: bloodbankahgtl@gmail.com",Govt.,B+Ve : 13,,2026-08-24 11:05:50,Blood Bank
2026-08-24T14:41:10,28,553,13,11,Bsu Rdt Kalyandurgam Private,282824,"Private BSU,The RDT Hospital, Kalyandurgam, Ananthapuramu, , Kalyandurg, Ananthapuramu, Andhra Pradesh",-,Private,,B+Ve : 0,2026-08-24 08:05:25,BSU
2026-08-24T14:41:10,28,553,13,11,Deepu Blood Centre Ananthapur,282646,"Deepu Blood Centre, 12-2-946, Sainagar 2nd cross, opp to SBI main branch, Ananta, Anantapur, Ananthapuramu, Andhra Pradesh","Phone: 7989152443 ,Fax: 0, Email: Deepubloodbank@gmail.com",Private,,B+Ve : 0,2026-08-24 10:42:50,Blood Bank
2026-08-24T14:41:10,28,553,13,11,Seva Blood Centre,283515,"2/309-6,3rd Floor, Thirumala Towers, Yellanuru Road Circle,TADIPATRI, TADIPATRI, Ananthapuramu, Andhra Pradesh","Phone: 9177615997 ,Fax: 1234567890, Email: Sevabloodcentre2022@gmail.com",Private,,B+Ve : 0,2026-08-24 07:41:47,Blood Bank
2026-08-24T14:41:10,28,553,13,11,Government General Hospital Blood Centre Anantapur,2842,"Dist. H.Q. Hospital Premises, Ground Floor, Opp DMHO Office Anantapuramu, Anantapur, Ananthapuramu, Andhra Pradesh","Phone: 8554275024 ,Fax: 1234567890, Email: bloodbankgghatp@gmail.com",Govt.,B+Ve : 1,,2026-08-24 09:37:17,Blood Bank
2026-08-24T14:41:10,28,553,13,11,Bsu Chc Gooty,280920,"Gooty, , GOOTY, Ananthapuramu, Andhra Pradesh",-,Govt.,,B+Ve : 0,2026-08-24 10:32:34,BSU
2026-08-24T14:41:10,28,553,13,11,Gopi Charitable Blood Center,283503,"D.NO.14/13,Samsan peta, Revenue ward No.14th, Kasspuram Road, Guntakal, Ananthapuramu, Andhra Pradesh","Phone: 9483733333 ,Fax: 0, Email: Gopibloodbank@gmail.com",Charitable/Vol,B+Ve : 6,,2026-08-24 09:52:47,Blood Bank
2026-08-24T14:41:10,28,553,13,11,Sreenitha Voluntary Blood Centre Ananthapuram,284558,"D.No 12-2-937-1, 2nd floor, 2nd cross, Sai Nagar, Ananthapuram, Ananthapuram, Ananthapuramu, Andhra Pradesh","Phone: 8688936028 ,Fax: -, Email: sreebloodcentre@gmail.com",Charitable/Vol,B+Ve : 2,,2026-08-24 09:29:58,Blood Bank
2026-08-24T14:41:10,28,553,13,11,Chaitanya Blood Centre Ananthapur,282620,"M/s. Chaitanya  Blood Centre (A unit of Chaitanya Youth Asso, Anantapur, Ananthapuramu, Andhra Pradesh","Phone: 9441219290 ,Fax: 1234567890, Email: chaitanyabloodbankatp001@gmail.com",Charitable/Vol,B+Ve : 2,,2026-08-24 08:07:09,Blood Bank
2026-08-24T14:41:10,28,553,13,11,Bsu Ah Rayadurgam,281312,"Rayadurgam, , RAYADURGAM, Ananthapuramu, Andhra Pradesh",-,Govt.,,B+Ve : 0,2026-08-24 10:10:22,BSU
2026-08-24T14:41:10,28,553,13,11,Bsu Chc Uravakonda,284661,"Uravakonda, , Uravakonda, Ananthapuramu, Andhra Pradesh",-,Govt.,,B+Ve : 0,2026-08-24 07:23:35,BSU
2026-08-24T14:41:10,28,753,13,11,Madanapalli Voluntary Blood Centre ,283814,"Madanapalli Voluntary Blood centre D.No.14/180,2nd Floor,CTM, Madanapalli, Annamayya, Andhra Pradesh","Phone: 9246999571 ,Fax: -, Email: mplbloodbankv@gmail.com",Charitable/Vol,,B+Ve : 0,2026-08-24 05:08:47,Blood Bank
2026-08-24T14:41:10,28,753,13,11,Bsu Ah Rayachoti,281771,"Rayachoti, , RAYACHOTI, Annamayya, Andhra Pradesh",-,Govt.,B+Ve : 2,,2026-08-24 09:34:37,BSU
2026-08-24T14:41:10,28,753,13,11,Bsu Ah Rajampet,281772,"Rajampeta, , RAJAMPET, Annamayya, Andhra Pradesh",-,Govt.,,B+Ve : 0,2026-08-24 08:04:35,BSU
2026-08-24T14:41:10,28,753,13,11,Bsu Chc Vayalpadu,284662,"Vayalapad, , vayalpadu, Annamayya, Andhra Pradesh",-,Govt.,,B+Ve : 0,2026-08-24 05:21:25,BSU
2026-08-24T14:41:10,28,753,13,11,Sri Deepa Voluntary Blood Centre,283342,"D.No.70/43-A and B, First and Second Floor, Brahmin Street,, Rayachoty, Annamayya, Andhra Pradesh","Phone: 7406899988 ,Fax: -, Email: srideepabloodcentre@gmail.com",Charitable/Vol,,B+Ve : 0,2026-08-24 09:20:29,Blood Bank
2026-08-24T14:41:10,28,753,13,11,Government General Hospital Blood Centre Madanapalle,283353,"MADANAPALLE, MADANAPALLE, Annamayya, Andhra Pradesh","Phone: 7981322876 ,Fax: -, Email: ircsbbmpl2009@gmail.com",Govt.,B+Ve : 36,,2026-08-24 10:48:13,Blood Bank
2026-08-24T14:41:10,28,753,13,11,Bsu Ah Pileru,280924,"Pileru, , PILER, Annamayya, Andhra Pradesh",-,Govt.,B+Ve : 3,,2026-08-23 15:42:48,BSU
2026-08-24T14:41:10,28,750,13,11,Area Hospital Blood Centre Bapatla,280932,"Area Hospital. 13th ward, Satyanarayanapuram, Bapatla, BAPATLA, Bapatla, Andhra Pradesh","Phone: 9989742355 ,Fax: -, Email: bapatlabloodbank@gmail.com",Govt.,B+Ve : 2,,2026-08-24 09:21:23,Blood Bank
2026-08-24T14:41:10,28,750,13,11,Bsu Chc Pittalavani Palem,285221,"Pittalavani Palem, , Pttalavani Palem, Bapatla, Andhra Pradesh",-,Govt.,B+Ve : 1,,2026-08-24 09:28:08,BSU
